production_companies_id,production_companies_name
12317,Team Ninja
6679,Marvista Entertainment
3552,Gerald Kargl
517,Allied Artists
77227,Action 27
44611,Sonnis
24901,IndustryWorks Pictures
50164,Fabrique d'images
62423,First Movie Companie
12068,Shotgun Pictures
55015,Pointe Studios
372,Groucho II Film Partnership
5679,The Universal Film Mfg. Co.
11976,Polonia Brothers Entertainment
40477,Nuts and Lloyd Films
3958,Front Street Pictures
22109,59 Films
18665,Project 8 Films
43714,"Columbia Pictures Corporation, Rastar Pictures"
15296,Galaworldfilm Productions
11939,Cofimage 18
47750,Chapman Filmed Entertainment
1698,Gérard Mital Productions
57294,Mandarin Cinéma
89951,Principal Productions Inc.
52217,Mannatee Films
75491,Sideshow Alley
67471,Concorde Media
17615,Bliss
10302,Alleycat Studios
21634,24 Seven Productions
75450,Ministère Tunisien de la Culture
25582,High Delft Pictures
40541,Over Under Media
13206,Lumiq Studios
11475,Argui-Film
3680,Ariztical Entertainment
6394,Geiselgasteig Film
18726,The Eternal Film Company
34530,Perfect Storm Entertainment
42591,Firsttake Entertainment
30131,Southpaw Entertainment
3356,State Street Pictures
21609,Tony-Seven Films
7982,Japan Film Fund
23434,Big Bug Pictures
32245,ASIG Productions
7035,Lions Gate Entertainments
90199,Stacey Reiss Productions
22276,Sicilia Cinematografica
6445,Raccord Produções
23684,Kodiak Films
90145,Palla
40841,Concreto Films
6051,Tokyo Broadcasting System
13745,Sonney Amusement Enterprises Inc.
10280,Arc Productions
14106,Essanjay Films
34312,Stink Films
56374,Baltmedia
472,Soprofilms
1241,Five Star Production
18855,VIP Productions Ltd.
22546,Magnet Media Group
94817,Kugatsusha
27833,Nine/8 Entertainment
788,Bel Air Entertainment
28523,Lionsgate Television
7034,Rita Productions
12542,Toki wo Kakeru Shôjo Seisaku Iinkai 2006
3611,LA Dark Streets
11284,Ajym Films
39515,Vlaams Audiovisueel Fonds
67043,NoLITa Cinema
5077,Amalgamated Productions
60285,Koch Company
16267,Utópica
56239,Modern Love
23126,Starling Films
5144,Sirocco Post
2561,Cargo Films
62735,Gobierno de Cantabria
863,Mantarraya Producciones
3835,Odyssey Motion Pictures
29119,Devon/Persky-Bright
82001,Reconsider
2091,Hochschule für Fernsehen und Film München
89536,RWE Productions
20399,Velvet Morning
40490,George A. Romero Productions
84212,Mary Murphy & Company
30514,Cofimage 11
62367,Kaltenbach Pictures
35139,Integral Films
14178,Studio 1 Productions
85537,Inge Ivarsson Filmproduction
11411,Guerrilla Films
12789,BAS Film Productions Inc.
11387,Les Artistes Anonymes
19584,Planet Filmplays
1413,Transmonde Film
29364,Pax Enterprises
12180,Warp Films
65661,Consejería de Cultura de la Junta de Andalucía
3307,Ex Nihilo
72812,FortWinter Films
7579,Redwire Pictures
8249,Beijing Liangzi Group
6500,Bonneville Entertainment
53733,Rhulen Entertainment
11538,AM Associates
3589,Kouf/Bigelow Productions
46226,Praxis Films
6504,Maple Island Films
14280,A-Pix Entertainment
3911,Primal Pictures
54281,A-Line Pictures
6690,Sandrew Metronome Distribution
1182,Telecinco
13548,Thier Productions
4065,Wild Street Pictures
93189,Kamera Filmes
3141,Cineplex
40871,British Army Film Unit
39057,TheManipulators
4734,MHA
71702,Making Movies
185,Pandora Cinema
71981,Stefi Films
41426,Objective 49
11959,Merlina Entertainment
8238,Regal Entertainment
72870,Grupo Novo de Cinema e TV
71447,Güney Film
31138,Coin Film
